index,scenario,country,original,rem_25,rem_50,rem_75,rem_100
2,defaunation,Australia,1011.165666,1012.453515,1010.289078,1014.329338,1006.596848
3,defaunation,Australia,1011.165666,1006.653145,1008.923064,1005.776002,988.997202
4,defaunation,Australia,1011.165666,1005.196157,1006.918147,1008.192205,998.8841916
5,defaunation,Australia,1011.165666,1007.941381,1010.22075,1005.774257,1000.185931
6,defaunation,Australia,1011.165666,1011.456931,1002.42178,1007.365272,1003.347441
7,defaunation,Australia,1011.165666,1010.184316,1011.906878,1012.297528,993.2032155
8,defaunation,Australia,1011.165666,1011.593492,1010.053049,1001.5064,998.6938916
9,defaunation,Australia,1011.165666,1005.254733,1012.395797,1014.907422,1006.658518
10,defaunation,Australia,1011.165666,1017.189214,1000.529587,1003.622708,996.6690198
11,defaunation,Australia,1011.165666,1014.864906,1004.977509,1001.240445,1008.832825
12,defaunation,Australia,1011.165666,998.4881308,1009.213264,1004.70298,1009.224772
13,defaunation,Australia,1011.165666,1005.590131,1006.651065,1012.511858,1007.575689
14,defaunation,Australia,1011.165666,1003.655918,1005.799587,1015.677894,1006.258827
15,defaunation,Australia,1011.165666,1019.253548,1013.270615,1004.258354,1001.553269
16,defaunation,Australia,1011.165666,1005.507615,1007.49056,993.5719387,1003.598906
17,defaunation,Australia,1011.165666,1002.636678,999.0301465,1013.136655,1001.338527
18,defaunation,Australia,1011.165666,1000.953277,1008.870301,1014.008181,1009.955062
19,defaunation,Australia,1011.165666,1018.818172,1015.103164,1005.329353,998.6634125
20,defaunation,Australia,1011.165666,1004.557293,1003.813878,1013.353145,1009.310008
21,defaunation,Australia,1011.165666,1007.290269,1022.310936,997.9489713,1005.956934
22,defaunation,Australia,1011.165666,1010.635533,1008.928915,1004.27868,1010.078951
23,defaunation,Australia,1011.165666,1008.068402,1005.45797,1018.164108,1013.57583
24,defaunation,Australia,1011.165666,1011.210424,1005.804041,997.5577577,998.117737
25,defaunation,Australia,1011.165666,1016.290717,1002.48854,1003.641743,1006.75421
26,defaunation,Australia,1011.165666,1013.278287,1003.464241,1003.246096,1002.308443
27,defaunation,Australia,1011.165666,1010.225267,1008.274054,997.9298991,1004.261329
28,defaunation,Australia,1011.165666,1005.463812,1007.138582,1005.736933,1001.891124
29,defaunation,Australia,1011.165666,1010.388516,1017.032736,1000.010732,994.2489667
30,defaunation,Australia,1011.165666,1006.100185,1003.184768,1013.80947,1000.56452
31,defaunation,Australia,1011.165666,1009.132508,1005.514434,1006.02973,998.7595774
32,defaunation,Australia,1011.165666,1002.17645,1011.171751,1004.001753,999.9512579
33,defaunation,Australia,1011.165666,1007.420585,1005.810848,1008.541664,1007.042096
34,defaunation,Australia,1011.165666,1007.493115,1013.857166,1010.32261,1007.182564
35,defaunation,Australia,1011.165666,1000.964145,1006.798701,1017.782549,998.076641
